symbol,week,price,mcap,source,tier
AAVE,2020-10-12,40.75,645313327.8784337,real_cm,1_real_mcap
AAVE,2020-10-19,37.895,607178297.4357301,real_cm,1_real_mcap
AAVE,2020-10-26,30.757,490867846.060465,real_cm,1_real_mcap
AAVE,2020-11-02,53.931,855116330.6322325,real_cm,1_real_mcap
AAVE,2020-11-09,64.256,1026628175.0021836,real_cm,1_real_mcap
AAVE,2020-11-16,68.811,1107791120.760063,real_cm,1_real_mcap
AAVE,2020-11-23,68.886,1095878838.8054638,real_cm,1_real_mcap
AAVE,2020-11-30,87.838,1410782574.8938825,real_cm,1_real_mcap
AAVE,2020-12-07,83.929,1332110671.6159873,real_cm,1_real_mcap
AAVE,2020-12-14,85.629,1365768068.6604688,real_cm,1_real_mcap
AAVE,2020-12-21,76.751,1244145322.6852353,real_cm,1_real_mcap
AAVE,2020-12-28,93.778,1502455320.6708224,real_cm,1_real_mcap
AAVE,2021-01-04,127.007,2044401461.117968,real_cm,1_real_mcap
AAVE,2021-01-11,186.323,3019031351.029712,real_cm,1_real_mcap
AAVE,2021-01-18,264.401,4294912484.522544,real_cm,1_real_mcap
AAVE,2021-01-25,299.601,4816653885.889568,real_cm,1_real_mcap
AAVE,2021-02-01,472.907,7645383590.362048,real_cm,1_real_mcap
AAVE,2021-02-08,468.525,7588137172.172224,real_cm,1_real_mcap
AAVE,2021-02-15,436.965,6970087505.760752,real_cm,1_real_mcap
AAVE,2021-02-22,354.155,5712591193.019296,real_cm,1_real_mcap
AAVE,2021-03-01,414.89,6573340566.354912,real_cm,1_real_mcap
AAVE,2021-03-08,380.669,6210654798.015456,real_cm,1_real_mcap
AAVE,2021-03-15,367.339,5864825907.45112,real_cm,1_real_mcap
AAVE,2021-03-22,347.721,5499863336.668384,real_cm,1_real_mcap
AAVE,2021-03-29,403.4,6463469736.384976,real_cm,1_real_mcap
AAVE,2021-04-05,372.026,5902257168.506912,real_cm,1_real_mcap
AAVE,2021-04-12,381.498,6128227793.682304,real_cm,1_real_mcap
AAVE,2021-04-19,348.53,5545779266.852656,real_cm,1_real_mcap
AAVE,2021-04-26,482.41,7703103246.830432,real_cm,1_real_mcap
AAVE,2021-05-03,459.51,7341681354.333328,real_cm,1_real_mcap
AAVE,2021-05-10,527.88,8339890929.35768,real_cm,1_real_mcap
AAVE,2021-05-17,293.31,4696722085.042832,real_cm,1_real_mcap
AAVE,2021-05-24,324.38,5197629058.167376,real_cm,1_real_mcap
AAVE,2021-05-31,365.48,5829752610.773728,real_cm,1_real_mcap
AAVE,2021-06-07,316.27,5049007494.663568,real_cm,1_real_mcap
AAVE,2021-06-14,272.67,4371454675.55384,real_cm,1_real_mcap
AAVE,2021-06-21,202.87,3214557226.622448,real_cm,1_real_mcap
AAVE,2021-06-28,277.0,4452044579.395376,real_cm,1_real_mcap
AAVE,2021-07-05,305.09,4874624544.057296,real_cm,1_real_mcap
AAVE,2021-07-12,253.68,4076344283.35672,real_cm,1_real_mcap
AAVE,2021-07-19,288.07,4592601888.312304,real_cm,1_real_mcap
AAVE,2021-07-26,316.38,5082908362.97264,real_cm,1_real_mcap
AAVE,2021-08-02,360.72,5812672126.180656,real_cm,1_real_mcap
AAVE,2021-08-09,410.27,6576829630.849248,real_cm,1_real_mcap
AAVE,2021-08-16,400.98,6436415409.301296,real_cm,1_real_mcap
AAVE,2021-08-23,364.1,5844294495.569248,real_cm,1_real_mcap
AAVE,2021-08-30,416.8,6669763069.244048,real_cm,1_real_mcap
AAVE,2021-09-06,333.3,5346009970.13176,real_cm,1_real_mcap
AAVE,2021-09-13,340.0,5428116235.497872,real_cm,1_real_mcap
AAVE,2021-09-20,293.3,4665033952.946352,real_cm,1_real_mcap
AAVE,2021-09-27,310.6,4965474378.24696,real_cm,1_real_mcap
AAVE,2021-10-04,287.9,4632915633.947296,real_cm,1_real_mcap
AAVE,2021-10-11,304.4,4863378223.039328,real_cm,1_real_mcap
AAVE,2021-10-18,307.8,4918951532.089168,real_cm,1_real_mcap
AAVE,2021-10-25,314.2,5034526789.701184,real_cm,1_real_mcap
AAVE,2021-11-01,319.9,5107695971.973296,real_cm,1_real_mcap
AAVE,2021-11-08,315.1,5032530363.658208,real_cm,1_real_mcap
AAVE,2021-11-15,266.4,4304172424.326944,real_cm,1_real_mcap
AAVE,2021-11-22,238.6,3811126936.015312,real_cm,1_real_mcap
AAVE,2021-11-29,191.6,3072714037.253568,real_cm,1_real_mcap
AAVE,2021-12-06,179.9,2885261153.722176,real_cm,1_real_mcap
AAVE,2021-12-13,183.3,2953670909.858896,real_cm,1_real_mcap
AAVE,2021-12-20,267.8,4302750919.179904,real_cm,1_real_mcap
AAVE,2021-12-27,265.3,4266659832.4856,real_cm,1_real_mcap
AAVE,2022-01-03,209.5,3357128842.376128,real_cm,1_real_mcap
AAVE,2022-01-10,242.5,3880872791.723744,real_cm,1_real_mcap
AAVE,2022-01-17,158.4,2526016051.472784,real_cm,1_real_mcap
AAVE,2022-01-24,148.9,2388616270.261424,real_cm,1_real_mcap
