candidate,family,description,behavior,n,ann_ret,sharpe,t_ret,lambda_ann_fmb,t_fmb,lambda_ann_gx_obs,t_gx_obs,lambda_ann_gx_full,t_gx_full,k_hidden,max_abs_corr_to_09,nearest_09_factor,passes_t2,passes_t165
absret_mean_12w__high_minus_low,absret,"absret_mean_12w, high minus low",high attention shock from large absolute moves,263,0.13793150979077398,0.28774711300708505,0.6056199232566689,0.35921548299542516,0.4716240737833712,1.542334639061543,5.852214219792194,2.25020355602676,6.171785283628918,2,0.7849728013235469,VolC,True,True
absret_mean_12w__low_minus_high,absret,"absret_mean_12w, low minus high",low attention shock from large absolute moves,263,-0.13793150979077398,-0.28774711300708505,-0.6056199232566689,-0.35921548299542516,-0.4716240737833712,-1.542334639061543,-5.852214219792194,-2.25020355602676,-6.171785283628918,2,0.7849728013235469,VolC,True,True
maxret_12w__low_minus_high,maxret,"maxret_12w, low minus high",low maximum-return lottery salience,263,-0.08790303368545722,-0.22003194626437442,-0.46568354346331925,-0.30562077922772773,-0.38682587652781125,-1.2912092560264388,-5.038248441485597,-1.892800918420384,-6.15827014925005,2,0.6707216280666332,VolC,True,True
maxret_12w__high_minus_low,maxret,"maxret_12w, high minus low",high maximum-return lottery salience,263,0.08790303368545722,0.22003194626437442,0.46568354346331925,0.30562077922772773,0.38682587652781125,1.2912092560264388,5.038248441485597,1.892800918420384,6.15827014925005,2,0.6707216280666332,VolC,True,True
vol_12w__high_minus_low,vol,"vol_12w, high minus low",high volatility/lottery demand,263,0.049646574818697796,0.10681245452524844,0.2217077135550554,0.2351659610253545,0.33347029242586523,1.470082089585307,5.550641908492971,2.068701638800239,5.985546030137377,2,0.8069737849232816,VolC,True,True
vol_12w__low_minus_high,vol,"vol_12w, low minus high",low volatility/lottery demand,263,-0.049646574818697796,-0.10681245452524844,-0.2217077135550554,-0.2351659610253545,-0.33347029242586523,-1.470082089585307,-5.550641908492971,-2.068701638800239,-5.985546030137377,2,0.8069737849232816,VolC,True,True
idvol_12w__high_minus_low,idvol,"idvol_12w, high minus low",high volatility/lottery demand,240,0.08519070469638819,0.19898234600667114,0.3817617310296287,0.7972672292724566,1.167872082187941,1.5046593432299171,5.6498831308257405,2.035556535327348,5.963957717755248,2,0.7864919100827572,VolC,True,True
idvol_12w__low_minus_high,idvol,"idvol_12w, low minus high",low volatility/lottery demand,240,-0.08519070469638819,-0.19898234600667114,-0.3817617310296287,-0.7972672292724566,-1.167872082187941,-1.5046593432299171,-5.6498831308257405,-2.035556535327348,-5.963957717755248,2,0.7864919100827572,VolC,True,True
maxret_8w__low_minus_high,maxret,"maxret_8w, low minus high",low maximum-return lottery salience,263,-0.0630316650122988,-0.153361577006672,-0.3106114071339606,-1.1603744924132575,-1.655960605703832,-1.3954651222174208,-5.989797307716919,-2.289473578133136,-5.796073507289488,2,0.7654138846805144,VolC,True,True
maxret_8w__high_minus_low,maxret,"maxret_8w, high minus low",high maximum-return lottery salience,263,0.0630316650122988,0.153361577006672,0.3106114071339606,1.1603744924132575,1.655960605703832,1.3954651222174208,5.989797307716919,2.289473578133136,5.796073507289488,2,0.7654138846805144,VolC,True,True
maxret_52w__low_minus_high,maxret,"maxret_52w, low minus high",low maximum-return lottery salience,263,0.02262753726218424,0.05959978445370293,0.1342959814499875,-0.6217358180642026,-0.8888900773969794,-1.3097964037704801,-4.9903261103148395,-1.8064746415300013,-5.55749511539383,2,0.4683749178678914,RC,True,True
maxret_52w__high_minus_low,maxret,"maxret_52w, high minus low",high maximum-return lottery salience,263,-0.02262753726218424,-0.05959978445370293,-0.1342959814499875,0.6217358180642026,0.8888900773969794,1.3097964037704801,4.9903261103148395,1.8064746415300013,5.55749511539383,2,0.4683749178678914,RC,True,True
maxret_3w__low_minus_high,maxret,"maxret_3w, low minus high",low maximum-return lottery salience,263,-0.2753888424277161,-0.7323751425427208,-1.357621394869746,-1.0522159653784404,-2.115361815542265,-1.333057101172178,-7.162394266949744,-1.6736355031105843,-5.530692668592494,2,0.7894351195834429,MAXRET,True,True
maxret_3w__high_minus_low,maxret,"maxret_3w, high minus low",high maximum-return lottery salience,263,0.2753888424277161,0.7323751425427208,1.357621394869746,1.0522159653784404,2.115361815542265,1.333057101172178,7.162394266949744,1.6736355031105843,5.530692668592494,2,0.7894351195834429,MAXRET,True,True
attention_absret_xs_4w__high_minus_low,attention,"attention_absret_xs_4w, high minus low",high attention shock from large absolute moves,263,0.2743868513550203,0.6183126544078078,1.189223679590615,0.6832653944964809,0.9559248183347375,1.3165984853471346,5.615890629074101,1.5081620861455503,5.394998805930283,2,0.8917518143732374,VolC,True,True
attention_absret_xs_4w__low_minus_high,attention,"attention_absret_xs_4w, low minus high",low attention shock from large absolute moves,263,-0.2743868513550203,-0.6183126544078078,-1.189223679590615,-0.6832653944964809,-0.9559248183347375,-1.3165984853471346,-5.615890629074101,-1.5081620861455503,-5.394998805930283,2,0.8917518143732374,VolC,True,True
absret_mean_4w__low_minus_high,absret,"absret_mean_4w, low minus high",low attention shock from large absolute moves,263,-0.2743868513550203,-0.6183126544078078,-1.189223679590615,-0.6832653944964809,-0.9559248183347375,-1.3165984853471346,-5.615890629074101,-1.5081620861455503,-5.394998805930283,2,0.8917518143732374,VolC,True,True
absret_mean_4w__high_minus_low,absret,"absret_mean_4w, high minus low",high attention shock from large absolute moves,263,0.2743868513550203,0.6183126544078078,1.189223679590615,0.6832653944964809,0.9559248183347375,1.3165984853471346,5.615890629074101,1.5081620861455503,5.394998805930283,2,0.8917518143732374,VolC,True,True
vol_26w__high_minus_low,vol,"vol_26w, high minus low",high volatility/lottery demand,263,0.03457163824064512,0.07921609147969112,0.16209828096133047,0.609033263647731,0.9068035606093677,1.4800629588991276,4.965719165801473,2.11951741308679,5.186776158897981,2,0.6898110095173944,VolC,True,True
vol_26w__low_minus_high,vol,"vol_26w, low minus high",low volatility/lottery demand,263,-0.03457163824064512,-0.07921609147969112,-0.16209828096133047,-0.609033263647731,-0.9068035606093677,-1.4800629588991276,-4.965719165801473,-2.11951741308679,-5.186776158897981,2,0.6898110095173944,VolC,True,True
maxret_26w__low_minus_high,maxret,"maxret_26w, low minus high",low maximum-return lottery salience,263,-0.06513803969152153,-0.17845772079339184,-0.35754646059746026,-0.9515463173468593,-1.495196450935391,-1.34133264660195,-5.5468256012954935,-1.9895109843590522,-5.138939003787917,2,0.5774575076233196,RC,True,True
maxret_26w__high_minus_low,maxret,"maxret_26w, high minus low",high maximum-return lottery salience,263,0.06513803969152153,0.17845772079339184,0.35754646059746026,0.9515463173468593,1.495196450935391,1.34133264660195,5.5468256012954935,1.9895109843590522,5.138939003787917,2,0.5774575076233196,RC,True,True
absret_mean_8w__low_minus_high,absret,"absret_mean_8w, low minus high",low attention shock from large absolute moves,263,-0.13643403518853645,-0.30791779848680906,-0.6438383354406274,-0.6058988247972205,-0.8498708284673093,-1.6068133221752539,-6.144424898411193,-1.8970851202873265,-4.903268784308126,2,0.8439831066719959,VolC,True,True
absret_mean_8w__high_minus_low,absret,"absret_mean_8w, high minus low",high attention shock from large absolute moves,263,0.13643403518853645,0.30791779848680906,0.6438383354406274,0.6058988247972205,0.8498708284673093,1.6068133221752539,6.144424898411193,1.8970851202873265,4.903268784308126,2,0.8439831066719959,VolC,True,True
attention_absret_xs_8w__high_minus_low,attention,"attention_absret_xs_8w, high minus low",high attention shock from large absolute moves,263,0.13643403518853645,0.30791779848680906,0.6438383354406274,0.6058988247972205,0.8498708284673093,1.6068133221752539,6.144424898411193,1.8970851202873265,4.903268784308126,2,0.8439831066719959,VolC,True,True
attention_absret_xs_8w__low_minus_high,attention,"attention_absret_xs_8w, low minus high",low attention shock from large absolute moves,263,-0.13643403518853645,-0.30791779848680906,-0.6438383354406274,-0.6058988247972205,-0.8498708284673093,-1.6068133221752539,-6.144424898411193,-1.8970851202873265,-4.903268784308126,2,0.8439831066719959,VolC,True,True
skew_52w__low_minus_high,skew,"skew_52w, low minus high",low realized skewness; lottery memory and right-tail salience,263,0.034813089165204376,0.10845741300624362,0.24251784278522126,-0.37558942438638787,-0.5403768201098834,-1.1223023899542608,-5.1781497046829745,-1.5031833537109602,-4.658074740481357,2,0.3326235818261217,RC,True,True
SKEW52_high_minus_low,skew,"skew_52w, high minus low",high realized skewness; lottery memory and right-tail salience,263,-0.034813089165204376,-0.10845741300624362,-0.24251784278522126,0.37558942438638787,0.5403768201098834,1.1223023899542608,5.1781497046829745,1.5031833537109602,4.658074740481357,2,0.3326235818261217,RC,True,True
idvol_8w__high_minus_low,idvol,"idvol_8w, high minus low",high volatility/lottery demand,248,0.159236774001116,0.3793146209606584,0.7471017253378115,0.50979720343265,0.7231584437242592,1.4866145123761516,4.77540002863882,2.0139314889619384,4.457882121757534,2,0.8178528171560655,VolC,True,True
idvol_8w__low_minus_high,idvol,"idvol_8w, low minus high",low volatility/lottery demand,248,-0.159236774001116,-0.3793146209606584,-0.7471017253378115,-0.50979720343265,-0.7231584437242592,-1.4866145123761516,-4.77540002863882,-2.0139314889619384,-4.457882121757534,2,0.8178528171560655,VolC,True,True
vol_8w__high_minus_low,vol,"vol_8w, high minus low",high volatility/lottery demand,263,0.18659115486468497,0.4099139385513456,0.8650085059266793,0.5098514162270338,0.6571897671386778,1.5055522715809533,4.671995104310589,2.236975445884002,4.4162120586735005,2,0.8437940251011775,VolC,True,True
vol_8w__low_minus_high,vol,"vol_8w, low minus high",low volatility/lottery demand,263,-0.18659115486468497,-0.4099139385513456,-0.8650085059266793,-0.5098514162270338,-0.6571897671386778,-1.5055522715809533,-4.671995104310589,-2.236975445884002,-4.4162120586735005,2,0.8437940251011775,VolC,True,True
