week,factor,ic
2018-07-30,VOLC,
2018-07-30,MAXRET,
2018-07-30,CRASH8,
2018-07-30,BETA26,
2018-07-30,NEWC,-0.5731813873199579
2018-07-30,SKEW52,
2018-07-30,TVLC,
2018-08-06,VOLC,
2018-08-06,MAXRET,
2018-08-06,CRASH8,
2018-08-06,BETA26,
2018-08-06,NEWC,0.48171627232209224
2018-08-06,SKEW52,
2018-08-06,TVLC,
2018-08-13,VOLC,
2018-08-13,MAXRET,
2018-08-13,CRASH8,
2018-08-13,BETA26,
2018-08-13,NEWC,0.2500046476608327
2018-08-13,SKEW52,
2018-08-13,TVLC,
2018-08-20,VOLC,-0.006060606060606061
2018-08-20,MAXRET,0.07878787878787878
2018-08-20,CRASH8,
2018-08-20,BETA26,
2018-08-20,NEWC,0.15244185832977605
2018-08-20,SKEW52,
2018-08-20,TVLC,
2018-08-27,VOLC,0.4424242424242424
2018-08-27,MAXRET,0.33333333333333326
2018-08-27,CRASH8,
2018-08-27,BETA26,
2018-08-27,NEWC,-0.0731720919982925
2018-08-27,SKEW52,
2018-08-27,TVLC,
2018-09-03,VOLC,0.38181818181818183
2018-09-03,MAXRET,0.5151515151515151
2018-09-03,CRASH8,-0.38181818181818183
2018-09-03,BETA26,
2018-09-03,NEWC,-0.597572084652722
2018-09-03,SKEW52,
2018-09-03,TVLC,
2018-09-10,VOLC,-0.18787878787878787
2018-09-10,MAXRET,0.34545454545454546
2018-09-10,CRASH8,0.18787878787878787
2018-09-10,BETA26,
2018-09-10,NEWC,-0.006097674333191042
2018-09-10,SKEW52,
2018-09-10,TVLC,
2018-09-17,VOLC,0.18787878787878787
2018-09-17,MAXRET,0.2727272727272727
2018-09-17,CRASH8,-0.309090909090909
2018-09-17,BETA26,
2018-09-17,NEWC,-0.45122790065613705
2018-09-17,SKEW52,
2018-09-17,TVLC,
2018-09-24,VOLC,0.5151515151515151
2018-09-24,MAXRET,0.4666666666666666
2018-09-24,CRASH8,0.0303030303030303
2018-09-24,BETA26,
2018-09-24,NEWC,0.042683720332337284
2018-09-24,SKEW52,
2018-09-24,TVLC,
2018-10-01,VOLC,0.7212121212121211
2018-10-01,MAXRET,0.5878787878787878
2018-10-01,CRASH8,-0.4666666666666666
2018-10-01,BETA26,
2018-10-01,NEWC,-0.3597627856582714
2018-10-01,SKEW52,
2018-10-01,TVLC,
2018-10-08,VOLC,-0.6848484848484848
2018-10-08,MAXRET,-0.7696969696969697
2018-10-08,CRASH8,0.04242424242424241
2018-10-08,BETA26,
2018-10-08,NEWC,-0.3231767396591252
2018-10-08,SKEW52,
2018-10-08,TVLC,
2018-10-15,VOLC,0.09090909090909088
2018-10-15,MAXRET,0.16363636363636364
2018-10-15,CRASH8,0.11515151515151514
2018-10-15,BETA26,
2018-10-15,NEWC,-0.38415348299103563
2018-10-15,SKEW52,
2018-10-15,TVLC,
2018-10-22,VOLC,-0.3939393939393939
2018-10-22,MAXRET,-0.4424242424242424
2018-10-22,CRASH8,0.2606060606060606
2018-10-22,BETA26,0.2121212121212121
2018-10-22,NEWC,-0.3719581343246535
2018-10-22,SKEW52,
2018-10-22,TVLC,
2018-10-29,VOLC,-0.6727272727272726
2018-10-29,MAXRET,-0.8545454545454544
2018-10-29,CRASH8,0.5515151515151515
2018-10-29,BETA26,0.23636363636363633
2018-10-29,NEWC,-0.3658604599914625
2018-10-29,SKEW52,
2018-10-29,TVLC,
2018-11-05,VOLC,-0.309090909090909
2018-11-05,MAXRET,-0.709090909090909
2018-11-05,CRASH8,0.05454545454545454
2018-11-05,BETA26,0.0303030303030303
2018-11-05,NEWC,-0.5061069696548565
2018-11-05,SKEW52,
2018-11-05,TVLC,
2018-11-12,VOLC,0.7575757575757575
2018-11-12,MAXRET,-0.16363636363636364
2018-11-12,CRASH8,-0.43030303030303024
2018-11-12,BETA26,-0.13939393939393938
2018-11-12,NEWC,-0.4634232493225192
2018-11-12,SKEW52,
2018-11-12,TVLC,
2018-11-19,VOLC,0.04242424242424241
2018-11-19,MAXRET,0.34545454545454546
2018-11-19,CRASH8,0.34545454545454546
2018-11-19,BETA26,-0.18787878787878787
2018-11-19,NEWC,0.3475674369918894
2018-11-19,SKEW52,
2018-11-19,TVLC,
2018-11-26,VOLC,0.12727272727272726
2018-11-26,MAXRET,0.34545454545454546
2018-11-26,CRASH8,-0.32121212121212117
2018-11-26,BETA26,-0.29696969696969694
2018-11-26,NEWC,-0.07926976633148354
2018-11-26,SKEW52,
2018-11-26,TVLC,
2018-12-03,VOLC,-0.24848484848484845
2018-12-03,MAXRET,-0.5272727272727272
2018-12-03,CRASH8,-0.33333333333333326
2018-12-03,BETA26,-0.3939393939393939
2018-12-03,NEWC,-0.20122325299530439
2018-12-03,SKEW52,
2018-12-03,TVLC,
2018-12-10,VOLC,-0.6848484848484848
2018-12-10,MAXRET,-0.4545454545454545
2018-12-10,CRASH8,0.4787878787878787
2018-12-10,BETA26,0.24848484848484845
2018-12-10,NEWC,0.3719581343246535
2018-12-10,SKEW52,
2018-12-10,TVLC,
2018-12-17,VOLC,0.06666666666666665
2018-12-17,MAXRET,0.0303030303030303
2018-12-17,CRASH8,-0.24848484848484845
2018-12-17,BETA26,0.006060606060606061
2018-12-17,NEWC,-0.3353720883255073
2018-12-17,SKEW52,
2018-12-17,TVLC,
