week,MAXRET,SKEW52,VOLC,BETA26,CRASH8,NEWC,TVLC
2017-08-14,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-08-21,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-08-28,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-09-04,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-09-11,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-09-18,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-09-25,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-10-02,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-10-09,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-10-16,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-10-23,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-10-30,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-11-06,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-11-13,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-11-20,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-11-27,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-12-04,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.375,0.25,0.25,0.125
2017-12-11,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-12-18,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.375,0.25,0.25,0.125
2017-12-25,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.375,0.25,0.25,0.125
2018-01-01,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.375,0.25,0.25,0.125
2018-01-08,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.375,0.25,0.25,0.125
2018-01-15,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.375,0.25,0.25,0.125
2018-01-22,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-01-29,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.375,0.25,0.25,0.125
2018-02-05,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-02-12,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-02-19,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-02-26,0.4,0.0,0.6,0.0,0.4,0.0,0.6
2018-03-05,0.4,0.0,0.6,0.0,0.4,0.0,0.6
2018-03-12,0.4,0.0,0.6,0.0,0.4,0.0,0.6
2018-03-19,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-03-26,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-04-02,0.4,0.0,0.6,0.0,0.4,0.0,0.6
2018-04-09,0.4,0.0,0.6,0.0,0.4,0.0,0.6
2018-04-16,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-04-23,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-04-30,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-05-07,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.375,0.25,0.25,0.125
2018-05-14,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.375,0.25,0.25,0.125
2018-05-21,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.375,0.25,0.25,0.125
2018-05-28,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-06-04,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-06-11,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-06-18,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-06-25,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-07-02,0.4,0.0,0.6,0.0,0.4,0.0,0.6
2018-07-09,0.4,0.0,0.6,0.0,0.4,0.0,0.6
2018-07-16,0.4,0.0,0.6,0.0,0.4,0.0,0.6
2018-07-23,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-07-30,0.4,0.0,0.6,0.0,0.4,0.0,0.6
2018-08-06,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-08-13,0.4,0.0,0.6,0.0,0.4,0.0,0.6
2018-08-20,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-08-27,0.4,0.0,0.6,0.0,0.4,0.0,0.6
2018-09-03,0.3863636363636363,0.0,0.6136363636363636,0.0,0.4,0.0,0.6
2018-09-10,0.43037974683544306,0.0,0.569620253164557,0.0,0.4,0.0,0.6
2018-09-17,0.5737704918032787,0.0,0.42622950819672134,0.0,0.4,0.0,0.6
2018-09-24,0.8500000000000001,0.0,0.15000000000000002,0.375,0.25,0.25,0.125
2018-10-01,0.6014492753623187,0.0,0.3985507246376811,0.25,0.375,0.125,0.25
2018-10-08,0.55859375,0.0,0.44140624999999994,0.25,0.375,0.125,0.25
2018-10-15,0.5719696969696969,0.0,0.42803030303030304,0.25,0.375,0.125,0.25
2018-10-22,0.46539027982326947,0.0,0.5346097201767304,0.0,0.4,0.0,0.6
2018-10-29,0.5465116279069767,0.0,0.4534883720930231,0.0,0.4,0.0,0.6
2018-11-05,0.4,0.0,0.6,0.0,0.4,0.0,0.6
2018-11-12,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-11-19,0.0,0.0,1.0,0.25,0.375,0.125,0.25
2018-11-26,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-12-03,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-12-10,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-12-17,0.4,0.0,0.6,0.0,0.4,0.0,0.6
2018-12-24,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-12-31,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2019-01-07,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2019-01-14,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2019-01-21,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2019-01-28,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2019-02-04,0.0,1.0,0.0,0.25,0.375,0.125,0.25
2019-02-11,0.0,1.0,0.0,0.25,0.375,0.125,0.25
2019-02-18,,,,0.0,0.4,0.0,0.6
2019-02-25,0.0,1.0,0.0,0.25,0.375,0.125,0.25
2019-03-04,0.0,1.0,0.0,0.25,0.375,0.125,0.25
2019-03-11,0.0,1.0,0.0,0.375,0.25,0.25,0.125
2019-03-18,0.0,1.0,0.0,0.25,0.375,0.125,0.25
2019-03-25,0.0,1.0,0.0,0.25,0.375,0.125,0.25
2019-04-01,0.0,1.0,0.0,0.25,0.375,0.125,0.25
2019-04-08,0.0,1.0,0.0,0.375,0.25,0.25,0.125
2019-04-15,0.0,0.0,1.0,0.0,0.4,0.0,0.6
2019-04-22,0.0,0.5181519413023541,0.48184805869764596,0.25,0.375,0.125,0.25
2019-04-29,0.0,0.3033257311846821,0.6966742688153179,0.25,0.375,0.125,0.25
2019-05-06,0.058889840826081084,0.0,0.9411101591739189,0.0,0.4,0.0,0.6
2019-05-13,0.0,0.3318164199888026,0.6681835800111974,0.25,0.375,0.125,0.25
2019-05-20,0.1574516360162408,0.2111296871268211,0.6314186768569381,0.25,0.375,0.125,0.25
2019-05-27,0.29574677617154116,0.07778066817793307,0.6264725556505258,0.25,0.375,0.125,0.25
2019-06-03,0.35722294309578106,0.24762216707189563,0.39515488983232333,0.375,0.25,0.25,0.125
2019-06-10,0.12019230769230771,0.0,0.8798076923076922,0.25,0.375,0.125,0.25
2019-06-17,0.27788649706457924,0.0,0.7221135029354206,0.25,0.375,0.125,0.25
2019-06-24,0.29801169067763467,0.0406826640439016,0.6613056452784637,0.25,0.375,0.125,0.25
2019-07-01,0.17408815020704527,0.8259118497929547,0.0,0.375,0.25,0.25,0.125
2019-07-08,0.0,0.0,1.0,0.0,0.4,0.0,0.6
2019-07-15,,,,0.0,0.4,0.0,0.6
2019-07-22,,,,0.0,0.4,0.0,0.6
2019-07-29,0.0,0.0,1.0,0.0,0.4,0.0,0.6
2019-08-05,,,,0.0,0.4,0.0,0.6
2019-08-12,0.0,0.5536560247167869,0.4463439752832132,0.25,0.375,0.125,0.25
2019-08-19,0.1287139332832779,0.0,0.871286066716722,0.0,0.4,0.0,0.6
2019-08-26,0.13676114611409637,0.13074902573434735,0.7324898281515563,0.25,0.375,0.125,0.25
2019-09-02,0.4143877373279917,0.0,0.5856122626720084,0.25,0.375,0.125,0.25
2019-09-09,0.0,0.10111335858397749,0.8988866414160225,0.25,0.375,0.125,0.25
2019-09-16,0.2050580376096418,0.06908194003598647,0.7258600223543716,0.25,0.375,0.125,0.25
2019-09-23,0.12516024248933252,0.14740466394484764,0.7274350935658199,0.25,0.375,0.125,0.25
2019-09-30,0.0,0.0,1.0,0.25,0.375,0.125,0.25
2019-10-07,0.0,0.12004129931001635,0.8799587006899836,0.375,0.25,0.25,0.125
2019-10-14,0.0,0.1906303484881647,0.8093696515118354,0.375,0.25,0.25,0.125
2019-10-21,0.0,0.6124391758531931,0.387560824146807,0.375,0.25,0.25,0.125
2019-10-28,0.0,0.6892216289152597,0.31077837108474027,0.25,0.375,0.125,0.25
2019-11-04,0.0,0.7315024788678235,0.26849752113217656,0.375,0.25,0.25,0.125
2019-11-11,0.0,1.0,0.0,0.25,0.375,0.125,0.25
2019-11-18,0.0,1.0,0.0,0.25,0.375,0.125,0.25
2019-11-25,0.0,1.0,0.0,0.25,0.375,0.125,0.25
2019-12-02,0.0,1.0,0.0,0.375,0.25,0.25,0.125
2019-12-09,0.0,1.0,0.0,0.25,0.375,0.125,0.25
2019-12-16,0.0,1.0,0.0,0.25,0.375,0.125,0.25
2019-12-23,0.14287869623051283,0.24513363388095374,0.6119876698885333,0.25,0.375,0.125,0.25
2019-12-30,0.13424913159412427,0.2796813356141593,0.5860695327917165,0.25,0.375,0.125,0.25
2020-01-06,0.0,0.0,1.0,0.0,0.4,0.0,0.6
