week,MAXRET,SKEW52,VOLC,BETA26,CRASH8,NEWC,TVLC
2017-08-14,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-08-21,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-08-28,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-09-04,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-09-11,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-09-18,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-09-25,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-10-02,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-10-09,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-10-16,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-10-23,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-10-30,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-11-06,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-11-13,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-11-20,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-11-27,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-12-04,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-12-11,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-12-18,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2017-12-25,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-01-01,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-01-08,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-01-15,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-01-22,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-01-29,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-02-05,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-02-12,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-02-19,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-02-26,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-03-05,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-03-12,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-03-19,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-03-26,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-04-02,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-04-09,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-04-16,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-04-23,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-04-30,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-05-07,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-05-14,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-05-21,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-05-28,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-06-04,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-06-11,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-06-18,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-06-25,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-07-02,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-07-09,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-07-16,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-07-23,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-07-30,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-08-06,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-08-13,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-08-20,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-08-27,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-09-03,0.4857142857142857,0.0,0.5142857142857143,0.25,0.375,0.125,0.25
2018-09-10,0.53125,0.0,0.46875,0.25,0.375,0.125,0.25
2018-09-17,0.6687898089171974,0.0,0.3312101910828026,0.25,0.375,0.125,0.25
2018-09-24,0.6538461538461539,0.0,0.34615384615384615,0.25,0.375,0.125,0.25
2018-10-01,0.6014492753623187,0.0,0.3985507246376811,0.25,0.375,0.125,0.25
2018-10-08,0.55859375,0.0,0.44140624999999994,0.25,0.375,0.125,0.25
2018-10-15,0.5719696969696969,0.0,0.42803030303030304,0.25,0.375,0.125,0.25
2018-10-22,0.5663082437275986,0.0,0.4336917562724014,0.25,0.375,0.125,0.25
2018-10-29,0.6438356164383562,0.0,0.35616438356164376,0.25,0.375,0.125,0.25
2018-11-05,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-11-12,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2018-11-19,0.0,0.0,1.0,0.25,0.375,0.125,0.25
2018-11-26,0.40000000000165,0.19999997475197845,0.4000000252463715,0.249999980269826,0.3750000019683768,0.12499999013749112,0.2500000276243061
2018-12-03,0.4000000000000879,0.19998113135144713,0.400018868648465,0.24998525834650262,0.37500147416510254,0.12499262917338864,0.25002063831500626
2018-12-10,0.40000000003018416,0.1855947618467574,0.4144052381230584,0.23843349844696687,0.3761566500680537,0.11921674927195544,0.26619310221302406
2018-12-17,0.400000019704668,0.09965005137867428,0.5003499289166577,0.1534315443017103,0.38465677730619363,0.07671581007509698,0.38519586831699903
2018-12-24,0.40388583643383674,0.05849174508970582,0.5376224184764574,0.05754268593958959,0.3771030375175646,0.038295061796726176,0.5270592147461197
2018-12-31,0.4008795957550957,0.19224736681976448,0.4068730374251399,0.2408606956203881,0.3733462812129504,0.12185681960186673,0.2639362035647948
2019-01-07,0.40785943655764656,0.2628749571230144,0.3292656063193391,0.2766553045126301,0.34834428697016684,0.1516555314666318,0.22334487705057127
2019-01-14,0.40649470690669254,0.25195576724278645,0.34154952585052095,0.2717041840487151,0.3532943962320977,0.1467049727815969,0.22829644693759035
2019-01-21,0.4000019626785052,0.19968548484254928,0.4003125524789456,0.24974799068367545,0.3750196773699801,0.12487706398720015,0.25035526795914426
2019-01-28,0.4000470796346552,0.019329864280802404,0.5806230560845423,0.035937225429011406,0.39620567422767744,0.018080058953073175,0.549777041390238
2019-02-04,0.0,1.0,0.0,0.06452357082906801,0.3934975828127897,0.03228959658359153,0.5096892497745508
2019-02-11,0.0,1.0,0.0,0.37498420017628176,0.25000631993289685,0.24998946678229364,0.1250200131085277
2019-02-18,0.0,1.0,0.0,0.2614650714537224,0.3632940930325295,0.1365988689613602,0.2386419665523878
2019-02-25,0.0,1.0,0.0,0.24779358840465898,0.37500380016387136,0.12401726142214216,0.2531853500093276
2019-03-04,0.0,1.0,0.0,0.24998983458453486,0.37497533587254755,0.12500918433060018,0.2500256452123174
2019-03-11,0.0,1.0,0.0,0.35114419100816335,0.25954232359745044,0.2340961273383779,0.1552173580560083
2019-03-18,0.0,1.0,0.0,0.2573541140348487,0.3676458603534001,0.1323541282635994,0.2426458973481518
2019-03-25,0.0,1.0,0.0,0.3746698820720798,0.2501980389944959,0.24974325925731553,0.1253888196761087
2019-04-01,0.0,1.0,0.0,0.2571180122195745,0.36788147648526265,0.13211829627244276,0.24288221502272014
2019-04-08,0.0,1.0,0.0,0.37499996746266384,0.25000001301493446,0.24999997830844256,0.12500004121395908
2019-04-15,0.0,0.7382962519663042,0.2617037480336958,0.24944070955018138,0.3750482553839709,0.12472461792009679,0.2507864171457509
2019-04-22,0.0,0.518166241229065,0.48183375877093515,0.25000286375458186,0.3749971361462429,0.12500286380967923,0.24999713628949605
2019-04-29,0.0,0.3032707177503778,0.6967292822496223,0.24997267567544348,0.3750025627430938,0.12498643210958948,0.2500383294718734
2019-05-06,0.06433861926943478,0.18181623917412532,0.7538451415564399,0.21630043386369222,0.3783699394605784,0.10815022646131969,0.29717940021440975
2019-05-13,0.0,0.3318164199888026,0.6681835800111974,0.25,0.375,0.125,0.25
2019-05-20,0.1574516360162408,0.2111296871268211,0.6314186768569381,0.25,0.375,0.125,0.25
2019-05-27,0.29574677617154116,0.07778066817793307,0.6264725556505258,0.25,0.375,0.125,0.25
2019-06-03,0.21435536908946595,0.07429413765733078,0.7113504932532032,0.25,0.375,0.125,0.25
2019-06-10,0.2901251062515767,0.0,0.7098748937484232,0.37473933675640153,0.2502606632435984,0.2497393367564016,0.12526066324359844
2019-06-17,0.5358490565953373,0.0,0.4641509434046628,0.37499999999661104,0.2500000000015081,0.24999999999765596,0.1250000000042249
2019-06-24,0.49658831790650226,0.13553033780406182,0.3678813442894359,0.3748566974323314,0.2501433025676686,0.2498566974323314,0.1251433025676686
2019-07-01,0.17408815020704554,0.8259118497929545,0.0,0.37499999999999933,0.2500000000000002,0.24999999999999956,0.1250000000000008
2019-07-08,0.0,0.9137313623758476,0.08626863762415247,0.3734164481032202,0.2515835518967797,0.24841644810322028,0.12658355189677972
2019-07-15,0.0,1.0,0.0,0.29112003466184333,0.33387996339663994,0.16612003574046372,0.20887996620105292
2019-07-22,0.0,1.0,0.0,0.26587193138985127,0.3591280686066766,0.14087193139178025,0.23412806861169186
2019-07-29,0.0,0.18431237616075538,0.8156876238392446,0.10959296068946289,0.38897178173437674,0.054834770453996436,0.44660048712216394
2019-08-05,0.0,1.0,0.0,0.021745103079381965,0.3977529991249639,0.01091282407696759,0.5695890737186866
2019-08-12,0.0,0.053993662072352025,0.946006337927648,0.024766910523625188,0.3971474067672536,0.012592289806470326,0.565493392902651
2019-08-19,0.13010619712039959,0.020818875232318908,0.8490749276472815,0.03993798376608326,0.3958687874791791,0.020045333074270855,0.5441478956804667
2019-08-26,0.11078176812018144,0.00035778571500526377,0.8888604461648134,0.0007257906370410392,0.3997398835322384,0.0004670827652191399,0.5990672430655014
