week,p_RiskOn,p_Neutral,p_RiskOff,label,gross
2017-08-14,0.0,1.0,0.0,Neutral,0.8
2017-08-21,0.0,1.0,0.0,Neutral,0.8
2017-08-28,0.0,1.0,0.0,Neutral,0.8
2017-09-04,0.0,1.0,0.0,Neutral,0.8
2017-09-11,0.0,1.0,0.0,Neutral,0.8
2017-09-18,0.0,1.0,0.0,Neutral,0.8
2017-09-25,0.0,1.0,0.0,Neutral,0.8
2017-10-02,0.0,1.0,0.0,Neutral,0.8
2017-10-09,0.0,1.0,0.0,Neutral,0.8
2017-10-16,0.0,1.0,0.0,Neutral,0.8
2017-10-23,0.0,1.0,0.0,Neutral,0.8
2017-10-30,0.0,1.0,0.0,Neutral,0.8
2017-11-06,0.0,1.0,0.0,Neutral,0.8
2017-11-13,0.0,1.0,0.0,Neutral,0.8
2017-11-20,0.0,1.0,0.0,Neutral,0.8
2017-11-27,0.0,1.0,0.0,Neutral,0.8
2017-12-04,0.0,1.0,0.0,Neutral,0.8
2017-12-11,0.0,1.0,0.0,Neutral,0.8
2017-12-18,0.0,1.0,0.0,Neutral,0.8
2017-12-25,0.0,1.0,0.0,Neutral,0.8
2018-01-01,0.0,1.0,0.0,Neutral,0.8
2018-01-08,0.0,1.0,0.0,Neutral,0.8
2018-01-15,0.0,1.0,0.0,Neutral,0.8
2018-01-22,0.0,1.0,0.0,Neutral,0.8
2018-01-29,0.0,1.0,0.0,Neutral,0.8
2018-02-05,0.0,1.0,0.0,Neutral,0.8
2018-02-12,0.0,1.0,0.0,Neutral,0.8
2018-02-19,0.0,1.0,0.0,Neutral,0.8
2018-02-26,0.0,1.0,0.0,Neutral,0.8
2018-03-05,0.0,1.0,0.0,Neutral,0.8
2018-03-12,0.0,1.0,0.0,Neutral,0.8
2018-03-19,0.0,1.0,0.0,Neutral,0.8
2018-03-26,0.0,1.0,0.0,Neutral,0.8
2018-04-02,0.0,1.0,0.0,Neutral,0.8
2018-04-09,0.0,1.0,0.0,Neutral,0.8
2018-04-16,0.0,1.0,0.0,Neutral,0.8
2018-04-23,0.0,1.0,0.0,Neutral,0.8
2018-04-30,0.0,1.0,0.0,Neutral,0.8
2018-05-07,0.0,1.0,0.0,Neutral,0.8
2018-05-14,0.0,1.0,0.0,Neutral,0.8
2018-05-21,0.0,1.0,0.0,Neutral,0.8
2018-05-28,0.0,1.0,0.0,Neutral,0.8
2018-06-04,0.0,1.0,0.0,Neutral,0.8
2018-06-11,0.0,1.0,0.0,Neutral,0.8
2018-06-18,0.0,1.0,0.0,Neutral,0.8
2018-06-25,0.0,1.0,0.0,Neutral,0.8
2018-07-02,0.0,1.0,0.0,Neutral,0.8
2018-07-09,0.0,1.0,0.0,Neutral,0.8
2018-07-16,0.0,1.0,0.0,Neutral,0.8
2018-07-23,0.0,1.0,0.0,Neutral,0.8
2018-07-30,0.0,1.0,0.0,Neutral,0.8
2018-08-06,0.0,1.0,0.0,Neutral,0.8
2018-08-13,0.0,1.0,0.0,Neutral,0.8
2018-08-20,0.0,1.0,0.0,Neutral,0.8
2018-08-27,0.0,1.0,0.0,Neutral,0.8
2018-09-03,0.0,1.0,0.0,Neutral,0.8
2018-09-10,0.0,1.0,0.0,Neutral,0.8
2018-09-17,0.0,1.0,0.0,Neutral,0.8
2018-09-24,0.0,1.0,0.0,Neutral,0.8
2018-10-01,0.0,1.0,0.0,Neutral,0.8
2018-10-08,0.0,1.0,0.0,Neutral,0.8
2018-10-15,0.0,1.0,0.0,Neutral,0.8
2018-10-22,0.0,1.0,0.0,Neutral,0.8
2018-10-29,0.0,1.0,0.0,Neutral,0.8
2018-11-05,0.0,1.0,0.0,Neutral,0.8
2018-11-12,0.0,1.0,0.0,Neutral,0.8
2018-11-19,0.0,1.0,0.0,Neutral,0.8
2018-11-26,4.124983914900876e-11,0.9999998736526488,1.2630610749395244e-07,Neutral,0.7999999747470334
2018-12-03,2.1974260889177807e-12,0.9999056567515286,9.434324628031632e-05,Neutral,0.7999811313511886
2018-12-10,7.546045424807944e-10,0.9279738072500762,0.07202619199532082,Neutral,0.7855947617518579
2018-12-17,4.926167959503068e-07,0.49824887722156086,0.5017506301616417,RiskOff,0.6996499724910297
2018-12-24,0.10107346018679547,0.001062271025301837,0.8978642687878959,RiskOff,0.6406418382797745
2018-12-31,0.02218503248136406,0.9032117648094256,0.07460320270919897,Neutral,0.789516365954424
2019-01-07,0.2132458350594893,0.7867512599324555,2.905008056963273e-06,Neutral,0.8426485860102878
2019-01-14,0.17364543470848012,0.8263444695488467,1.0095742665284685e-05,Neutral,0.8347270677931566
2019-01-21,4.9067925674158646e-05,0.9982998167407723,0.0016511153335450272,Neutral,0.7996795905184191
2019-01-28,0.001177545250381803,0.09316220923261632,0.9056602455170116,RiskOff,0.6191034599466818
2019-02-04,0.0003078847365840964,0.17811591055768317,0.8215762047057209,RiskOff,0.6357463360061631
2019-02-11,0.9999325891017042,4.5459561604984735e-11,6.74108528253057e-05,RiskOn,0.9999730356497671
2019-02-18,0.09380109006207696,0.9044874010191729,0.001711508918751325,Neutral,0.8184179162286661
2019-02-25,0.0019162203467600935,0.9825122265782847,0.01557155307496187,Neutral,0.7972689334543651
2019-03-04,0.00022825141361097962,0.9995240948385216,0.00024765374785796183,Neutral,0.799996119533143
