week,factor,ic
2019-04-01,VolC,0.32867132867132864
2019-04-01,MAXRET,0.23076923076923078
2019-04-01,CRASH8,
2019-04-01,BETA26,
2019-04-01,TVLC,
2019-04-01,SKEW52,
2019-04-01,NEWC,-0.45594824261288697
2019-04-01,RMOM1w,0.32867132867132864
2019-04-01,RMOM2w,0.20979020979020982
2019-04-01,SMBC,-0.24835164835164836
2019-04-01,NetRel,
2019-04-01,MomC,-0.1258741258741259
2019-04-01,NetMom,
2019-04-01,FunC,
2019-04-08,VolC,0.8321678321678322
2019-04-08,MAXRET,0.6853146853146854
2019-04-08,CRASH8,-0.2447552447552448
2019-04-08,BETA26,
2019-04-08,TVLC,
2019-04-08,SKEW52,
2019-04-08,NEWC,-0.04405297030076202
2019-04-08,RMOM1w,0.09090909090909093
2019-04-08,RMOM2w,0.11188811188811189
2019-04-08,SMBC,-0.0857142857142857
2019-04-08,NetRel,
2019-04-08,MomC,-0.4010989010989011
2019-04-08,NetMom,
2019-04-08,FunC,
2019-04-15,VolC,0.15934065934065936
2019-04-15,MAXRET,-0.3681318681318681
2019-04-15,CRASH8,-0.5174825174825175
2019-04-15,BETA26,
2019-04-15,TVLC,
2019-04-15,SKEW52,
2019-04-15,NEWC,-0.5903098020302112
2019-04-15,RMOM1w,0.04395604395604395
2019-04-15,RMOM2w,0.22527472527472525
2019-04-15,SMBC,-0.432967032967033
2019-04-15,NetRel,
2019-04-15,MomC,0.45494505494505494
2019-04-15,NetMom,
2019-04-15,FunC,
2019-04-22,VolC,0.3934065934065934
2019-04-22,MAXRET,0.09010989010989012
2019-04-22,CRASH8,-0.4755244755244756
2019-04-22,BETA26,
2019-04-22,TVLC,
2019-04-22,SKEW52,
2019-04-22,NEWC,-0.1718065841729719
2019-04-22,RMOM1w,0.26153846153846155
2019-04-22,RMOM2w,0.367032967032967
2019-04-22,SMBC,-0.16043956043956045
2019-04-22,NetRel,
2019-04-22,MomC,0.3406593406593406
2019-04-22,NetMom,
2019-04-22,FunC,
2019-04-29,VolC,0.27912087912087913
2019-04-29,MAXRET,0.006593406593406593
2019-04-29,CRASH8,-0.3681318681318681
2019-04-29,BETA26,
2019-04-29,TVLC,
2019-04-29,SKEW52,
2019-04-29,NEWC,-0.2973575495301437
2019-04-29,RMOM1w,0.5956043956043956
2019-04-29,RMOM2w,0.4769230769230769
2019-04-29,SMBC,-0.3450549450549451
2019-04-29,NetRel,
2019-04-29,MomC,0.3406593406593406
2019-04-29,NetMom,
2019-04-29,FunC,
2019-05-06,VolC,-0.37142857142857144
2019-05-06,MAXRET,-0.2967032967032967
2019-05-06,CRASH8,0.38461538461538464
2019-05-06,BETA26,
2019-05-06,TVLC,
2019-05-06,SKEW52,
2019-05-06,NEWC,0.2218250418828974
2019-05-06,RMOM1w,-0.3186813186813187
2019-05-06,RMOM2w,-0.3274725274725274
2019-05-06,SMBC,0.1714285714285714
2019-05-06,NetRel,
2019-05-06,MomC,-0.03736263736263736
2019-05-06,NetMom,
2019-05-06,FunC,
2019-05-13,VolC,0.4241758241758242
2019-05-13,MAXRET,0.4065934065934066
2019-05-13,CRASH8,-0.6043956043956044
2019-05-13,BETA26,
2019-05-13,TVLC,
2019-05-13,SKEW52,
2019-05-13,NEWC,-0.5885519256409134
2019-05-13,RMOM1w,0.12967032967032965
2019-05-13,RMOM2w,0.3758241758241759
2019-05-13,SMBC,-0.3142857142857143
2019-05-13,NetRel,
2019-05-13,MomC,0.24395604395604395
2019-05-13,NetMom,
2019-05-13,FunC,
2019-05-20,VolC,0.2
2019-05-20,MAXRET,0.3054945054945055
2019-05-20,CRASH8,0.5252747252747253
2019-05-20,BETA26,
2019-05-20,TVLC,
2019-05-20,SKEW52,
2019-05-20,NEWC,0.4579613767904979
2019-05-20,RMOM1w,-0.2571428571428571
2019-05-20,RMOM2w,-0.2923076923076923
2019-05-20,SMBC,0.42142857142857143
2019-05-20,NetRel,
2019-05-20,MomC,-0.7285714285714285
2019-05-20,NetMom,
2019-05-20,FunC,
2019-05-27,VolC,-0.35
2019-05-27,MAXRET,-0.3571428571428571
2019-05-27,CRASH8,0.06813186813186813
2019-05-27,BETA26,0.02097902097902098
2019-05-27,TVLC,
2019-05-27,SKEW52,
2019-05-27,NEWC,0.2236139535109853
2019-05-27,RMOM1w,-0.43214285714285705
2019-05-27,RMOM2w,-0.3071428571428571
2019-05-27,SMBC,0.3107142857142856
2019-05-27,NetRel,
2019-05-27,MomC,-0.06785714285714285
2019-05-27,NetMom,
2019-05-27,FunC,
2019-06-03,VolC,0.3714285714285714
2019-06-03,MAXRET,0.36428571428571427
2019-06-03,CRASH8,-0.3758241758241759
2019-06-03,BETA26,-0.31468531468531474
2019-06-03,TVLC,
2019-06-03,SKEW52,
2019-06-03,NEWC,-0.13059054885041543
