week,symbol,cluster_id,signal,side,w
2019-04-01,ADA,,0.24561246605492268,1,0.2
2019-04-01,BNB,,-0.16369897682574974,-1,-1.1338567271540182e-06
2019-04-01,BTC,,-0.6025451330406604,-1,-0.065
2019-04-01,DASH,,0.16526879941090628,1,2.386693435546961e-09
2019-04-01,ETC,,-0.3219212082023954,-1,-0.065
2019-04-01,ETH,,-0.1986092126225772,-1,-0.05058402819960447
2019-04-01,FET,,0.15200185946991304,0,0.0
2019-04-01,LINK,,0.5629496366593865,1,0.2
2019-04-01,LTC,,-0.24084334516011452,-1,-0.05441483794366836
2019-04-01,TRX,,0.25399053634039015,1,0.2
2019-04-01,VET,,-0.027149810960849646,0,0.0
2019-04-01,XLM,,-0.07814383526305754,0,0.0
2019-04-01,XRP,,0.07018730118583037,0,0.0
2019-04-01,ZEC,,0.18290092295405663,1,0.10499999761330644
2019-04-08,ADA,,-0.011322418904350064,0,0.006451953321041509
2019-04-08,BNB,,-0.07281785306516791,0,-3.6577953381733146e-08
2019-04-08,BTC,,-0.5229617169579464,-1,-0.065
2019-04-08,DASH,,0.16544023196764776,1,0.12690768806199693
2019-04-08,ETC,,-0.10904326380099821,-1,-0.002097190636690796
2019-04-08,ETH,,-0.19427402138565106,-1,-0.06453494411433199
2019-04-08,FET,,0.6630896457981682,1,0.1935480466789585
2019-04-08,LINK,,0.21656519628872117,1,0.2
2019-04-08,LTC,,-0.2911594198769877,-1,-0.06465852514258444
2019-04-08,TRX,,0.03742303944622377,0,0.006451953321041509
2019-04-08,VET,,-0.002349867433474045,0,0.0
2019-04-08,XLM,,-0.1299534243111912,-1,-0.03870930352843938
2019-04-08,XRP,,0.06968169848952488,1,1.5841792819937141e-10
2019-04-08,ZEC,,0.18168217374548215,1,0.17164035845854356
2019-04-15,ADA,,0.019283490064926086,0,0.0
2019-04-15,BNB,,-0.1485913392437413,-1,-1.1396591809978785e-06
2019-04-15,BTC,,-0.5499755848393539,-1,-0.065
2019-04-15,DASH,,0.16233528023777502,1,0.10499999847106396
2019-04-15,ETC,,-0.1895768559681872,-1,-0.03999886034081898
2019-04-15,ETH,,-0.17682499427981824,-1,-0.065
2019-04-15,FET,,0.8053019400197404,1,0.2
2019-04-15,LINK,,0.1807227614074314,1,0.2
2019-04-15,LTC,,-0.3732823853702514,-1,-0.065
2019-04-15,TRX,,0.02221167888071171,0,0.0
2019-04-15,VET,,0.023297953507009247,0,0.0
2019-04-15,XLM,,-0.09333183275417638,0,0.0
2019-04-15,XRP,,0.13618308116668446,1,1.5289359157240523e-09
2019-04-15,ZEC,,0.18224680717124883,1,0.2
2019-04-22,ADA,,0.06556727305413274,0,0.0
2019-04-22,BNB,,-0.11470487910672136,0,0.0
2019-04-22,BTC,,-0.44394756616728887,-1,-0.065
