Factor,Mean IC,IC Std,t-stat,Hit Rate,Q5-Q1 Spread,N,IC_loose,IC_neutral,IC_tight
corr_density,0.0622,0.2169,1.97,0.681,0.009,47,0.0371,0.0787,0.0706
dau_growth_30d,0.0301,0.1481,1.39,0.638,0.0427,47,0.0084,0.0515,0.0325
rev_mc,0.0102,0.1672,0.42,0.574,-0.0054,47,0.0005,0.0508,-0.0099
dau_zscore,0.0058,0.1427,0.28,0.489,-0.0268,47,-0.0058,-0.0809,0.0743
mom_1m,0.0021,0.1939,0.07,0.574,0.0307,47,-0.0744,0.0545,0.0266
mom_3m,0.0021,0.1939,0.07,0.574,0.0307,47,-0.0744,0.0545,0.0266
mom_6m,0.0021,0.1939,0.07,0.574,0.0307,47,-0.0744,0.0545,0.0266
tvl_mc,,,0.0,0.468,,47,0.0078,0.0168,
tvl_growth_30d,,,0.0,0.574,,47,0.0514,0.04,
centrality_change_1m_std,,,0.0,0.489,,47,,0.024,-0.0232
eigenvector_centrality_std,,,0.0,0.511,,47,,,
txns_growth_30d,-0.0003,0.1579,-0.01,0.489,-0.0064,47,-0.0085,0.0241,-0.0105
fees_growth_30d,-0.0014,0.1492,-0.06,0.489,0.025,47,-0.0097,-0.0006,0.0047
fees_mc,-0.0124,0.1584,-0.53,0.447,-0.0108,47,0.0155,0.0058,-0.0468
rev_growth_30d,-0.0153,0.1366,-0.77,0.426,-0.0022,47,-0.028,-0.0173,-0.0038
within_cluster_rank,-0.0194,0.1698,-0.78,0.489,0.0204,47,-0.0629,0.0698,-0.0462
vol_30d,-0.1299,0.2726,-3.27,0.298,-0.0178,47,-0.0729,-0.1891,-0.1343
